DATE,LAT,LON,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,WS2M,T2M_MAX,T2M_MIN
2022-06-30,-35.1191,-71.6231,5.3100,3.9400,80.2100,2.1600,15.0300,5.5400
2022-06-30,-34.7132,-71.6290,8.7500,1.2100,81.5900,2.8800,15.2200,6.5800
2022-06-30,-35.0274,-71.4280,5.3100,1.5200,66.6700,0.8800,17.7500,7.2700
2022-06-30,-35.3440,-71.8060,5.3100,6.8200,79.6900,1.5200,14.1900,5.5800
2022-06-30,-34.2790,-71.4926,8.7500,0.5900,65.1800,0.9800,18.3000,7.3900
2022-06-30,-35.3898,-71.7349,5.3100,6.8200,79.6900,1.5200,14.1900,5.5800
2022-07-01,-34.2790,-71.4926,6.1800,10.2400,87.4800,1.3900,10.0700,4.2300
2022-07-01,-35.3440,-71.8060,6.2500,5.4000,86.1500,1.8300,11.5900,4.7400
2022-07-01,-34.7132,-71.6290,6.1800,10.7100,80.2700,3.3600,12.9500,7.7600
2022-07-01,-35.1191,-71.6231,6.2500,8.5600,83.4500,2.5700,12.3400,5.4300
2022-07-01,-35.3898,-71.7349,6.2500,5.4000,86.1500,1.8300,11.5900,4.7400
2022-07-01,-35.0274,-71.4280,6.2500,9.9300,89.1000,1.1700,8.8400,2.7700
2022-07-02,-35.3898,-71.7349,8.2200,0.6300,83.3600,1.3800,11.9400,3.6300
2022-07-02,-34.2790,-71.4926,10.0500,0.0000,63.5200,0.8500,13.1800,4.1200
2022-07-02,-35.3440,-71.8060,8.2200,0.6300,83.3600,1.3800,11.9400,3.6300
2022-07-02,-34.7132,-71.6290,10.0500,0.0200,70.3900,1.6000,13.0400,7.4600
2022-07-02,-35.1191,-71.6231,8.2200,0.2400,77.1000,1.4900,12.7500,5.0100
2022-07-02,-35.0274,-71.4280,8.2200,0.0000,71.7400,0.8400,12.0300,2.4300
2022-07-03,-34.2790,-71.4926,6.9200,0.0000,56.8600,0.7800,13.7200,6.4300
2022-07-03,-35.3440,-71.8060,7.1200,0.2100,83.6400,0.8500,12.7900,4.3000
2022-07-03,-35.3898,-71.7349,7.1200,0.2100,83.6400,0.8500,12.7900,4.3000
2022-07-03,-35.0274,-71.4280,7.1200,0.0100,62.1900,0.7800,13.0400,5.2700
2022-07-03,-35.1191,-71.6231,7.1200,0.0900,80.4400,1.0500,13.4700,5.9100
2022-07-03,-34.7132,-71.6290,6.9200,0.0100,77.2900,1.4800,13.9300,6.9800
2022-07-04,-35.3898,-71.7349,10.4700,0.9900,89.0100,0.8100,12.9000,4.7400
2022-07-04,-34.7132,-71.6290,11.4400,0.0700,81.6500,1.5100,14.8600,6.8400
2022-07-04,-35.1191,-71.6231,10.4700,0.2900,86.4300,1.2100,14.0600,5.2600
2022-07-04,-35.3440,-71.8060,10.4700,0.9900,89.0100,0.8100,12.9000,4.7400
2022-07-04,-34.2790,-71.4926,11.4400,0.0000,62.4600,0.8600,15.8500,5.8600
2022-07-04,-35.0274,-71.4280,10.4700,0.0200,69.9800,0.7500,14.3500,4.6000
2022-07-05,-35.0274,-71.4280,7.0100,0.2200,62.2600,0.7500,13.8600,4.1900
2022-07-05,-35.3898,-71.7349,7.0100,1.8300,81.2300,1.3200,13.6200,3.2600
2022-07-05,-35.1191,-71.6231,7.0100,0.6900,79.4200,1.4800,14.3300,5.0900
2022-07-05,-34.7132,-71.6290,11.3000,0.0900,76.5000,1.8400,14.4700,6.9100
2022-07-05,-35.3440,-71.8060,7.0100,1.8300,81.2300,1.3200,13.6200,3.2600
2022-07-05,-34.2790,-71.4926,11.3000,0.0500,56.6000,0.8500,14.7400,4.8000
2022-07-06,-35.3898,-71.7349,5.8600,2.7500,85.2000,1.7500,10.7100,3.0700
2022-07-06,-34.2790,-71.4926,5.5000,2.1000,83.7400,1.3600,9.7500,4.7100
2022-07-06,-35.1191,-71.6231,5.8600,2.5400,82.4100,2.5300,11.7100,5.1700
2022-07-06,-35.3440,-71.8060,5.8600,2.7500,85.2000,1.7500,10.7100,3.0700
2022-07-06,-34.7132,-71.6290,5.5000,1.8700,79.9700,3.0100,12.5900,7.2100
2022-07-06,-35.0274,-71.4280,5.8600,2.8000,85.3800,1.1900,8.8000,2.9700
2022-07-07,-35.3440,-71.8060,11.0500,0.0000,80.5300,1.2900,14.3600,1.2100
2022-07-07,-34.7132,-71.6290,11.9300,0.0000,80.9100,3.0700,14.9200,3.6100
2022-07-07,-35.1191,-71.6231,11.0500,0.0000,81.3100,2.0400,14.8300,1.9500
2022-07-07,-35.3898,-71.7349,11.0500,0.0000,80.5300,1.2900,14.3600,1.2100
2022-07-07,-35.0274,-71.4280,11.0500,0.0000,52.0300,0.8800,18.7100,2.5800
2022-07-07,-34.2790,-71.4926,11.9300,0.0000,50.9400,1.0300,18.6300,4.7100
