param,base_value,min_sampled,max_sampled,pearson_r,spearman_r,std_beta_abs,rf_importance,perm_importance_mean
RUE_ol,0.41,0.328,0.49199999999999994,0.6872489706516868,0.6816409389102348,0.690864600121335,0.46529524037506004,0.9574326877774263
fresh_factor,2.2,1.7600000000000002,2.64,0.6611724141710997,0.6571210387802596,0.6723745122178593,0.4597045696058633,0.9025032175878329
harvest_doy,120.0,96.0,144.0,0.2042535777492635,0.19247144861786217,0.22522109787854763,0.044839858106796644,0.08190396065732247
HI_pot_base,0.35,0.27999999999999997,0.42,-0.17011504142157555,-0.16363791790947949,0.12902340223445222,0.006915439665934037,0.007412059091186658
FcritFlo,450.0,360.0,540.0,0.06622958593254702,0.06407049551762388,0.0002186619112640216,0.0005947920545500662,0.0002147706802304509
anthesis_window_days,7.0,5.6000000000000005,8.4,-0.05319563462001892,-0.05342460885615221,0.0011252766738031863,0.0006327095554071919,0.00021194685815716005
PlantD,1600.0,1280.0,1920.0,0.04802186500966868,0.04496133224033306,0.024825520261453328,0.0007978684960480144,0.00032210630643881487
TTSW2,110.0,88.0,132.0,0.03803336607253529,0.040935514233878555,0.0003104879944401076,0.0007025699075237143,0.00025300046460613825
RelTr_b,13.45,10.76,16.139999999999997,0.035492676768406506,0.03230145657536414,0.009726988869654719,0.000850128489318463,0.0003149375261701263
chill_c,7.2,5.760000000000001,8.64,-0.033881815119607944,-0.019002382750595688,0.017880415797178972,0.0007319365903371572,0.0002572241332900275
RelLAI_b,21.42,17.136000000000003,25.704,0.031015899690169588,0.033215030303757574,0.0018874719961418781,0.0006604204209327428,0.00024293873615282012
FTSWm,0.05,0.04000000000000001,0.06,0.02640152773947614,0.025865193466298363,0.002381526446169263,0.0007546538157326867,0.00029965619751154047
TE_coeff,4.0,3.2,4.8,-0.025411594671277207,-0.022819568704892178,0.0014880046256895406,0.0007483372634359198,0.00026136995500443866
LAD,2.0,1.6,2.4,-0.023074648387035872,-0.02447759111939778,0.028451048551474897,0.0010486385514555307,0.0005368700530325195
TMAXm,40.0,32.0,48.0,-0.02282851287103465,-0.02654528763632191,0.0028999570669665325,0.0007242153659260626,0.00026778826166072486
chill_b,-0.5,-0.6,-0.4,-0.02061136069989464,-0.013075800268950066,0.003461713061671787,0.0006787497743470801,0.00024209029766191953
SLA_ol,5.2,4.16,6.24,0.02057099358586849,0.020291039072759767,0.011434741646093255,0.0006874209398508113,0.0002825453369413866
Initial_Saturation,0.9,0.7200000000000001,1.08,0.020393992106969332,0.018209332552333136,0.000142886693698702,0.0006416927033794745,0.00022020856970462373
Tb_forcing_alt,9.0,7.2,10.799999999999999,-0.020044668383470483,-0.016031353007838253,0.0020262185360494693,0.0006445129173412944,0.000209672127006999
root_frac_layer1,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.019787205744058803,0.018028780507195124,0.0015788477075996035,0.000681713528381784,0.00023842435599226905
RelTr_a,6.17,4.936,7.404,0.018208155952343354,0.023277614819403707,0.001285155198785973,0.0006384493037824402,0.00022673035130568546
T_opt_chill_alt,7.2,5.760000000000001,8.64,0.01791199033245191,0.015825539456384864,0.0033461275070408455,0.0006310355321892717,0.0002130917696870312
FTSWo,0.4,0.32000000000000006,0.48,0.0172218332154415,0.023494003373500844,0.002483310773722868,0.0007010996585367871,0.00024222138341719232
PClf_pot_base,0.18,0.144,0.216,0.015362526838354441,0.013448079362019841,0.013878774823611332,0.0006519459998800017,0.00023785003815312382
TMAXo,30.0,24.0,36.0,0.01508983796150223,0.016782415195603802,0.00038044084194283116,0.0006092441961250146,0.0002073573740605017
SALB,0.2,0.16000000000000003,0.24,0.014556159463572037,0.01475757368939342,0.00036363917734763215,0.0006126387310968496,0.00021536756243978328
LAI_ini,3.5,2.8000000000000003,4.2,0.013234251085956343,0.018951568737892183,0.025102731116028523,0.0007986151608690185,0.0003471680294628854
TTSW1,70.0,56.0,84.0,0.012594185202002119,0.015374028843507212,0.0017880946629536345,0.0006354185698226773,0.00023281879149286144
root_frac_layer2,0.6666666666666666,0.5333333333333333,0.7999999999999999,-0.010977053127025327,-0.009250272812568202,0.00032996742827363923,0.0006081422515559656,0.00022466860887366825
Irrigation_Efficiency,0.95,0.76,1.14,-0.00937801917582962,-0.009427083856770964,0.0012351415784287935,0.0005123864991835854,0.00017011012790626445
forcing_e,9.0,7.2,10.799999999999999,-0.008894744434087245,-0.005160892290223072,0.0007493784874687806,0.0006294656956465679,0.00021004518207220121
forcing_d,0.5,0.4,0.6,-0.007234138312637326,-0.010836037209009303,0.0027829707147991344,0.0007340626486226147,0.0002763592200427952
T_max_chill_alt,16.0,12.8,19.2,-0.006713041029807813,-0.0023942180985545244,0.003369282047273797,0.0006520750272946143,0.00022222063417924134
gamma_kpa,0.067,0.05360000000000001,0.0804,0.005586013201956898,0.0030124627531156883,7.766681331749375e-05,0.0006026395897433867,0.00019226078482773208
chill_a,0.01,0.008,0.012,-0.0034113080322846997,-0.004877684719421179,0.0024321827136639515,0.0006479358431996582,0.00023844076455316424
RelLAI_a,78.24,62.592,93.88799999999999,0.0023317504914208706,0.005893753473438368,0.0011489059853815957,0.0006433174281506388,0.00021856169335008336
Irrigation_Threshold,0.3,0.24,0.36,-0.001755108136261882,-0.0038009199502299874,0.007525051028813765,0.0006377473450319326,0.00022448562211364227
Ccrit,350.0,280.0,420.0,-0.0002344961652251094,0.005161259790314948,0.017515861141891045,0.0007183123916471168,0.0002862318580838889
