,0,1,2,3,4,5
0,12.11,35.77,0.0,27.45,36.18,2.07
1,12.75,32.45,0.01,25.55,48.44,1.48
2,14.06,30.96,0.02,24.63,53.99,1.33
3,13.63,34.6,0.0,25.24,48.55,1.54
4,14.26,36.53,0.0,25.72,42.08,1.87
5,14.03,29.18,0.03,23.59,59.4,1.92
6,12.07,31.27,0.26,19.03,60.48,1.3
7,12.82,32.58,0.24,25.39,54.77,2.29
8,13.19,37.01,0.0,25.52,40.41,1.75
9,11.33,33.15,0.05,25.02,48.26,1.24
10,12.17,27.47,0.61,20.03,69.98,1.44
11,12.03,30.15,0.01,24.61,51.0,1.85
12,10.05,33.34,0.0,24.17,45.33,0.95
13,10.83,30.5,0.01,23.91,54.24,1.32
14,11.14,29.81,0.06,22.1,63.96,1.45
15,10.71,24.7,0.13,6.78,70.86,1.66
16,11.44,23.75,0.29,17.12,63.47,0.97
17,10.51,26.7,0.17,22.17,60.5,1.59
18,9.76,22.01,0.98,12.55,73.91,1.35
19,9.53,22.59,0.22,14.73,71.04,1.51
20,10.73,25.54,0.43,23.07,63.39,1.21
21,9.23,27.71,0.03,22.5,65.39,1.31
22,10.65,30.29,0.01,22.23,52.43,0.86
23,9.93,29.09,0.0,22.25,54.14,1.32
24,10.07,27.21,0.0,20.53,57.56,1.56
25,7.08,24.4,0.0,18.26,52.98,1.46
26,7.12,28.1,0.0,21.84,47.09,1.66
27,9.34,28.71,0.0,22.37,24.47,0.95
28,10.44,31.95,0.0,21.68,37.05,1.16
29,8.06,28.49,0.0,20.53,62.55,1.38
30,9.26,28.07,0.0,16.66,62.7,1.11
31,9.68,28.66,3.22,14.68,58.41,1.25
32,9.51,26.78,4.17,18.4,67.7,1.12
33,9.82,27.23,1.76,18.73,61.3,1.43
34,9.05,29.45,1.12,19.84,53.37,1.15
35,7.79,22.38,24.67,16.81,75.66,1.62
36,10.09,17.87,28.37,13.62,86.98,1.43
37,10.27,23.14,0.12,16.43,80.29,1.12
38,10.24,22.16,0.01,12.65,74.18,1.47
39,8.74,21.31,0.56,17.3,74.75,1.13
40,8.44,20.94,0.05,9.03,68.47,1.62
41,6.15,20.37,0.01,17.2,66.78,1.32
42,7.32,27.21,0.0,19.27,51.36,2.34
43,9.8,27.55,0.0,17.78,61.77,2.02
44,11.03,29.26,0.02,17.14,59.66,1.17
45,9.63,25.73,0.01,18.29,72.78,1.37
46,8.65,25.81,0.01,17.39,69.71,1.45
47,9.17,25.66,0.02,16.96,69.4,1.17
48,8.07,19.12,0.06,11.53,78.15,0.88
49,8.2,22.41,0.01,14.38,67.9,0.92
50,8.91,23.66,0.39,16.49,72.92,1.21
